fips,PST045212,PST040210,PST120212,POP010210,LND110210,POP060210
8061,1444,1398,3.3,1398,1767.77,0.8
8063,8094,8270,-2.1,8270,2160.82,3.8
8065,7338,7310,0.4,7310,376.91,19.4
8067,52401,51334,2.1,51334,1692.08,30.3
8069,310487,299630,3.6,299630,2596,115.4
8071,14945,15507,-3.6,15507,4772.67,3.2
8073,5453,5467,-0.3,5467,2577.63,2.1
8075,22631,22709,-0.3,22709,1838.55,12.4
8077,147848,146723,0.8,146723,3328.97,44.1
8079,709,712,-0.4,712,875.67,0.8
8081,13200,13795,-4.3,13795,4743.29,2.9
8083,25431,25535,-0.4,25535,2029.53,12.6
8085,40725,41276,-1.3,41276,2240.7,18.4
8087,28472,28159,1.1,28159,1280.43,22
8089,18698,18831,-0.7,18831,1261.96,14.9
8091,4530,4436,2.1,4436,541.59,8.2
8093,16029,16206,-1.1,16206,2193.85,7.4
8095,4367,4442,-1.7,4442,687.93,6.5
8097,17263,17148,0.7,17148,970.7,17.7
8099,12389,12551,-1.3,12551,1638.4,7.7
8101,160852,159063,1.1,159063,2386.1,66.7
8103,6857,6666,2.9,6666,3220.93,2.1
8105,11943,11982,-0.3,11982,911.96,13.1
8107,23334,23509,-0.7,23509,2362.03,10
8109,6304,6108,3.2,6108,3168.53,1.9
8111,690,699,-1.3,699,387.49,1.8
8113,7580,7359,3,7359,1286.61,5.7
8115,2383,2379,0.2,2379,548.04,4.3
8117,28044,27994,0.2,27994,608.36,46
8119,23389,23350,0.2,23350,557.06,41.9
8121,4766,4814,-1,4814,2518.03,1.9
8123,263691,252825,4.3,252825,3987.24,63.4
8125,10119,10043,0.8,10043,2364.41,4.2
9000,3590347,3574097,0.5,3574097,4842.36,738.1
9001,933835,916829,1.9,916829,624.89,1467.2
9003,897259,894017,0.4,894014,735.1,1216.2
9005,187530,189927,-1.3,189927,920.56,206.3
9007,165602,165676,0,165676,369.3,448.6
9009,862813,862474,0,862477,604.51,1426.7
9011,274170,274055,0,274055,664.88,412.2
9013,151539,152691,-0.8,152691,410.21,372.2
9015,117599,118428,-0.7,118428,512.91,230.9
10000,917092,897934,2.1,897934,1948.54,460.8
10001,167626,162310,3.3,162310,586.18,276.9
10003,546076,538479,1.4,538479,426.29,1263.2
